face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,participant
detected_faces\01233.jpg,White,White,Female,20-29,"[0.80012786 0.01967865 0.03948374 0.06590886 0.02064419 0.00195826
 0.05219838]",[0.7921406  0.01732713 0.18647316 0.00405916],[0.24291858 0.75708145],"[2.1270402e-03 7.5242274e-02 1.1825750e-01 6.0618359e-01 1.7322113e-01
 2.2565555e-02 1.9042600e-03 3.7006670e-04 1.2861534e-04]",01233
detected_faces\01232.jpg,White,White,Male,20-29,"[0.39386895 0.3366296  0.04479529 0.13670513 0.040771   0.00643505
 0.04079501]",[0.71276987 0.0741449  0.18218571 0.03089947],[0.64391446 0.35608557],"[2.9122450e-03 5.5822395e-02 6.2840320e-02 6.6862577e-01 1.8534441e-01
 2.2614086e-02 1.6233798e-03 1.5665150e-04 6.0754457e-05]",01232
detected_faces\01231.jpg,White,White,Male,20-29,"[9.5351911e-01 1.2296645e-04 1.1962198e-02 2.2321139e-03 1.3293647e-03
 1.8200486e-04 3.0652244e-02]",[9.98439550e-01 1.09553344e-04 1.36923045e-03 8.17183827e-05],[0.99587864 0.00412135],"[2.7946091e-06 8.3031635e-05 1.5743753e-02 4.7394177e-01 4.3497810e-01
 7.3154792e-02 2.0527313e-03 4.1489100e-05 1.5911560e-06]",01231
detected_faces\01225.jpg,White,White,Female,20-29,"[0.7304059  0.00204338 0.14191681 0.02352056 0.01505316 0.0187082
 0.0683519 ]",[0.8976907  0.00378899 0.0539066  0.04461368],[0.09288926 0.90711075],"[0.00060554 0.01772275 0.07824588 0.5026353  0.29414806 0.08215933
 0.01671533 0.00545317 0.0023147 ]",01225
detected_faces\01224.jpg,Black,Black,Female,40-49,"[2.8860985e-04 9.4174206e-01 2.8739434e-03 8.3962688e-05 1.0788791e-03
 5.2976806e-02 9.5570093e-04]",[6.0998205e-05 8.3180332e-01 5.3450326e-03 1.6279061e-01],[0.31767505 0.68232495],"[2.31995757e-04 1.33565406e-03 4.16971464e-03 7.76218697e-02
 3.89424980e-01 3.97981822e-01 1.15424626e-01 1.28769642e-02
 9.32369730e-04]",01224
detected_faces\01222.jpg,White,White,Male,20-29,"[0.9148089  0.00332543 0.01959468 0.02831607 0.00573128 0.00095889
 0.02726469]",[8.4405166e-01 5.6984432e-02 9.8186806e-02 7.7709311e-04],[0.898817   0.10118299],"[9.0124660e-05 1.0644353e-02 2.9855591e-01 6.2591833e-01 6.2886834e-02
 1.8006412e-03 9.0515503e-05 1.1481834e-05 1.7740963e-06]",01222
detected_faces\01221.jpg,Black,Asian,Male,20-29,"[0.01747071 0.6020025  0.07023126 0.06936387 0.12050343 0.11251564
 0.00791245]",[0.02490539 0.14673534 0.68620116 0.14215812],[0.7151757 0.2848243],"[2.1454473e-03 4.1462544e-02 1.2181742e-01 4.9228871e-01 2.7949971e-01
 5.4543976e-02 6.5877922e-03 1.4000795e-03 2.5426337e-04]",01221
detected_faces\01220.jpg,East Asian,Asian,Female,20-29,"[0.2865214  0.0032654  0.09774097 0.47370812 0.07542169 0.02033897
 0.04300347]",[0.05353783 0.01909639 0.7189898  0.20837606],[0.02884712 0.9711529 ],"[2.1173937e-04 2.6779894e-02 1.4985251e-01 6.7143101e-01 1.3015382e-01
 2.0238908e-02 9.5379859e-04 3.0459926e-04 7.3752606e-05]",01220
detected_faces\01219.jpg,Latino_Hispanic,Asian,Male,20-29,"[0.11110435 0.06622423 0.26752633 0.21272425 0.15298517 0.02498433
 0.16445138]",[0.12634599 0.03185663 0.7972538  0.04454367],[0.9397989  0.06020104],"[0.01791881 0.08518039 0.04832115 0.4207342  0.33303797 0.07640205
 0.01434267 0.00329866 0.0007641 ]",01219
detected_faces\01213.jpg,Black,Black,Male,20-29,"[1.74310931e-04 9.76262987e-01 1.19059365e-02 1.08118395e-04
 1.59325055e-03 9.51425452e-03 4.41051350e-04]",[4.6326598e-04 9.4433475e-01 9.0914695e-03 4.6110541e-02],[9.9991500e-01 8.4948886e-05],"[6.2470457e-07 1.6642647e-05 9.9310502e-03 4.8286694e-01 4.5451906e-01
 5.0671905e-02 1.9508108e-03 4.0236471e-05 2.7056906e-06]",01213
detected_faces\01212.jpg,Black,Black,Male,30-39,"[2.4639913e-03 9.5337141e-01 2.4386235e-02 6.3611446e-03 1.1923155e-02
 1.0425912e-03 4.5155652e-04]",[6.4992448e-05 9.2093569e-01 7.7590443e-02 1.4089278e-03],[0.97107893 0.02892109],"[4.86330278e-02 3.66445221e-02 1.02200005e-02 2.44824424e-01
 4.90161657e-01 1.52887747e-01 1.44899022e-02 1.70450227e-03
 4.34199552e-04]",01212
detected_faces\01211.jpg,White,White,Female,20-29,"[9.8927736e-01 8.7685821e-06 1.4823627e-03 1.3051013e-03 4.1769637e-04
 3.6291836e-05 7.4724746e-03]",[9.7801167e-01 1.0244949e-04 1.9985639e-02 1.9002262e-03],[1.29965965e-05 9.99987006e-01],"[9.3161283e-08 7.0255477e-04 2.2586356e-01 7.3908401e-01 3.4001384e-02
 3.4703070e-04 1.2714696e-06 3.2052061e-08 2.9707337e-09]",01211
